New Year's Camp,2017-01-01,10:00 AM,12:00 PM,5,3,2,"Use red/white/blue for colors"
New Year's Camp,2017-01-01,2:00 PM,4:00 PM,5,16,2,"Use red/white/blue for colors"
Oh Oh It's Magic,2017-01-10,10:00 AM,12:00 PM,5,22,2,Wizardry theme colors
Oh Oh It's Magic,2017-01-10,2:00 PM,4:00 PM,5,13,2,Wizardry theme colors
Oh Oh It's Magic,2017-01-11,10:00 AM,12:00 PM,5,20,2,Wizardry theme colors
Oh Oh It's Magic,2017-01-11,2:00 PM,4:00 PM,5,1,2,Wizardry theme colors
All you need is love,2017-02-14,10:00 AM,12:00 PM,1,2,2,Valentine's Day Event
All you need is love,2017-02-14,2:00 PM,4:00 PM,1,25,2,Valentine's Day Event
Spring Is Coming,2017-02-26,2:00 PM,4:00 PM,1,13,2,Bright Flowery colors
Spring Is Coming,2017-02-27,2:00 PM,4:00 PM,1,4,2,Bright Flowery colors
Monster Camp,2017-03-14,10:00 AM,12:00 PM,6,20,2,Monster Inc Theme Party
Monster Camp,2017-03-15,10:00 AM,12:00 PM,6,10,2,Monster Inc Theme Party
Ladies Night Out,2017-03-24,7:00 PM,9:00 PM,1,7,2,Collect Mixers and Snacks
Ladies Night Out,2017-03-31,7:00 PM,9:00 PM,1,15,2,Collect Mixers and Snacks
Ladies Night Out,2017-04-07,7:00 PM,9:00 PM,1,25,2,Collect Mixers and Snacks
Johnny's Party,2017-01-24,12:00 PM,1:30 PM,2,20,2,
Sam's Party,2017-02-12,12:00 PM,1:30 PM,3,22,2,
Klaus' Party,2017-03-20,12:00 PM,2:00 PM,2,18,2,
Linda's Party,2017-03-24,12:00 PM,1:30 PM,3,13,2,
Walk in ,2017-04-01,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-02,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-03,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-04,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-05,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-06,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-07,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-08,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-09,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-10,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-11,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-12,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-13,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-14,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-15,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-16,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-17,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-18,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-19,12:00 AM,11:59 PM,7,26,2,
Walk in ,2017-04-20,12:00 AM,11:59 PM,7,26,1,
Walk in ,2017-04-21,12:00 AM,11:59 PM,7,26,1,
Walk in ,2017-04-22,12:00 AM,11:59 PM,7,26,1,
Walk in ,2017-04-23,12:00 AM,11:59 PM,7,26,1,
Walk in ,2017-04-24,12:00 AM,11:59 PM,7,26,1,
Walk in ,2017-04-25,12:00 AM,11:59 PM,7,26,1
Walk in ,2017-04-26,12:00 AM,11:59 PM,7,26,1
Walk in ,2017-04-27,12:00 AM,11:59 PM,7,26,1
Walk in ,2017-04-28,12:00 AM,11:59 PM,7,26,1
Walk in ,2017-04-29,12:00 AM,11:59 PM,7,26,1
Walk in ,2017-04-30,12:00 AM,11:59 PM,7,26,1
Eggstravagza,2017-04-17,10:00 AM,12:00 PM,1,11,1,"Easter Event"
Eggstravagza,2017-04-17,1:00 PM,3:00 PM,1,12,1,"Easter Event"
Eggstravagza,2017-04-17,4:00 PM,6:00 PM,1,13,1,"Easter Event"
Get Over The Hump,2017-03-29,7:00 PM,9:00 PM,2,0,1,"21 and Over. Relieve stress from work"
Get Over The Hump,2017-04-05,7:00 PM,9:00 PM,2,13,1,"21 and Over. Relieve stress from work"
Get Over The Hump,2017-04-12,7:00 PM,9:00 PM,2,26,1,"21 and Over. Relieve stress from work"
Get Over The Hump,2017-04-19,7:00 PM,9:00 PM,2,3,1,"21 and Over. Relieve stress from work"
Get Over The Hump,2017-04-26,7:00 PM,9:00 PM,2,10,1,"21 and Over. Relieve stress from work"
Hailey's Party,	2017-04-01,2:00 PM,4:00 PM,3,15,1	
Farrah's Party,2017-04-09,4:00 PM,6:00 PM,3,1,1	
David's Party,2017-04-22,12:00 PM,2:00 PM,3,20,1	
Pet Prints,	2017-04-15,10:00 AM,11:30 AM,1,7,1,"Small pets only"
